flex,fsr1,fsr2,fsr3,pitch,roll,label
268,2.43,0.00,15.10,68.98,24.90,Sitting
287,3.08,0.00,15.37,68.99,24.90,Sitting
303,3.51,0.00,15.57,68.99,24.87,Sitting
316,3.93,0.00,15.73,68.99,24.87,Sitting
302,3.51,0.00,15.48,68.98,24.85,Sitting
291,3.14,0.00,15.37,68.99,24.92,Sitting
284,2.82,0.00,15.22,69.01,24.92,Sitting
277,2.60,0.00,15.07,69.01,24.88,Sitting
274,2.26,0.00,15.00,69.02,24.85,Sitting
295,2.92,0.00,15.33,69.01,24.89,Sitting
312,3.37,0.00,15.54,69.01,24.85,Sitting
325,3.74,0.00,15.71,69.01,24.87,Sitting
336,4.05,0.00,15.85,68.99,24.85,Sitting
318,3.54,0.00,15.66,69.02,25.02,Sitting
302,3.35,0.00,15.48,69.00,25.05,Sitting
283,2.86,0.00,15.26,69.00,25.03,Sitting
273,2.68,0.00,15.16,69.01,25.01,Sitting
290,3.23,0.00,15.42,69.02,25.06,Sitting
302,3.73,0.00,15.67,69.03,25.04,Sitting
312,4.05,0.00,15.81,69.01,24.96,Sitting
307,4.00,0.00,15.53,69.01,24.92,Sitting
292,3.60,0.00,15.36,69.02,24.98,Sitting
281,3.27,0.00,15.28,69.03,24.96,Sitting
272,3.05,0.00,15.13,69.04,24.93,Sitting
260,2.72,0.00,15.03,69.06,24.90,Sitting
282,3.34,0.00,15.29,69.08,24.90,Sitting
301,3.78,0.00,15.54,69.06,24.88,Sitting
316,4.03,0.00,15.69,69.05,24.87,Sitting
315,3.65,0.00,15.46,69.06,24.89,Sitting
298,3.20,0.00,15.20,69.07,25.11,Sitting
287,2.72,0.00,15.00,69.06,25.13,Sitting
282,1.76,0.00,14.78,69.07,25.10,Sitting
300,2.45,0.00,14.96,69.05,25.06,Sitting
314,2.94,0.00,15.13,69.05,25.07,Sitting
327,3.42,0.00,15.35,69.08,25.05,Sitting
335,3.63,0.00,15.43,69.10,24.99,Sitting
316,2.33,0.00,14.91,69.12,24.96,Sitting
307,2.11,0.00,14.75,69.12,25.07,Sitting
292,1.72,0.00,14.61,69.11,25.06,Sitting
286,1.67,0.00,14.49,69.11,25.03,Sitting
302,2.41,0.00,14.80,69.13,24.97,Sitting
317,2.90,0.00,15.05,69.13,24.90,Sitting
329,3.29,0.00,15.33,69.12,24.82,Sitting
337,3.70,0.00,15.50,69.10,24.79,Sitting
318,3.09,0.00,15.07,69.11,24.72,Sitting
305,2.62,0.00,15.03,69.12,24.75,Sitting
295,2.49,0.00,14.91,69.12,24.76,Sitting
286,2.24,0.00,14.81,69.14,24.74,Sitting
275,1.90,0.00,14.75,69.17,24.71,Sitting
