flex,fsr1,fsr2,fsr3,pitch,roll,label
0,0.00,0.00,14.84,-25.26,38.28,Walking
0,0.00,0.00,14.86,-25.48,38.45,Walking
0,0.00,0.00,14.71,-25.52,38.57,Walking
0,0.00,0.00,14.36,-25.47,38.70,Walking
0,0.00,0.00,14.23,-25.43,38.98,Walking
0,0.00,0.00,14.34,-25.36,39.31,Walking
0,0.00,0.00,14.45,-25.26,39.81,Walking
0,0.00,0.00,14.44,-25.14,40.59,Walking
0,0.00,0.00,14.61,-25.13,41.64,Walking
0,0.43,0.00,14.70,-25.16,42.47,Walking
0,0.36,0.00,14.61,-25.21,43.16,Walking
0,0.00,0.00,14.51,-25.24,43.74,Walking
0,0.40,0.00,14.27,-25.18,44.18,Walking
0,0.51,0.00,14.37,-25.10,44.54,Walking
0,0.16,0.00,14.48,-25.23,44.70,Walking
0,0.00,0.00,14.73,-25.50,44.77,Walking
0,0.00,0.00,15.15,-25.90,44.81,Walking
0,0.00,0.00,15.47,-26.25,44.77,Walking
0,0.00,0.00,15.46,-26.56,45.37,Walking
0,0.00,0.00,15.11,-27.10,46.46,Walking
0,0.00,0.00,15.01,-26.41,47.20,Walking
0,0.00,0.00,14.95,-25.40,47.57,Walking
0,0.00,0.00,14.70,-23.83,47.66,Walking
0,0.00,0.00,14.21,-21.26,47.47,Walking
0,0.00,0.00,14.34,-17.46,46.67,Walking
0,0.00,0.00,14.27,-14.22,46.00,Walking
0,0.00,0.00,14.50,-11.68,46.03,Walking
0,0.00,0.00,14.47,-8.99,45.85,Walking
0,0.00,0.00,13.91,-5.05,45.56,Walking
0,0.00,0.00,13.46,-1.41,45.06,Walking
28,0.00,0.00,13.10,1.98,44.66,Walking
61,0.00,0.00,13.15,5.28,44.32,Walking
141,0.00,0.00,13.41,8.78,44.38,Walking
222,0.00,0.00,13.20,11.98,44.27,Walking
275,0.00,0.00,12.90,15.16,43.98,Walking
340,0.00,0.00,12.93,18.41,43.66,Walking
416,0.00,0.00,12.59,21.97,43.31,Walking
468,0.00,0.00,12.41,25.53,42.73,Walking
508,0.00,0.00,11.96,28.78,42.00,Walking
565,0.00,0.00,11.64,31.88,40.82,Walking
648,0.00,0.00,11.65,35.36,39.53,Walking
718,0.00,0.00,11.78,37.82,38.31,Walking
770,0.00,0.00,11.47,40.01,37.32,Walking
789,0.00,0.00,10.66,41.83,36.58,Walking
783,0.00,0.00,10.14,43.25,36.04,Walking
801,0.00,0.00,9.67,44.25,35.46,Walking
806,0.00,0.00,9.85,44.92,34.86,Walking
790,0.00,0.00,9.50,45.36,34.06,Walking
817,0.00,0.00,9.89,45.64,32.57,Walking
815,0.00,0.00,10.46,45.36,30.76,Walking
794,0.00,0.00,10.57,44.51,29.05,Walking
706,0.00,0.00,10.41,43.16,27.69,Walking
600,0.00,0.00,10.13,41.09,26.70,Walking
513,0.00,0.00,9.91,38.64,25.95,Walking
428,0.00,0.00,9.38,35.68,25.18,Walking
344,0.00,0.00,8.77,32.70,24.30,Walking
278,0.00,0.00,8.65,29.89,23.47,Walking
223,0.00,0.00,9.11,27.07,22.53,Walking
178,0.00,0.00,9.83,24.23,21.76,Walking
142,0.00,0.00,10.58,21.31,21.24,Walking
114,0.00,0.00,10.61,17.93,21.04,Walking
91,0.00,0.00,10.75,14.84,20.84,Walking
73,0.00,0.00,10.94,12.28,20.77,Walking
58,0.00,0.00,11.32,10.07,21.15,Walking
46,0.00,0.00,11.70,7.81,22.69,Walking
37,0.00,0.00,12.08,5.59,24.17,Walking
